DATE OCC,AREA NAME,Crm Cd Desc,LAT,LON,Cluster
12/27/2020 12:00:00 AM,Rampart,VEHICLE - STOLEN,34.0763,-118.2613,0
08/09/2020 12:00:00 AM,Southwest,"RAPE, FORCIBLE",34.017,-118.3477,0
02/02/2020 12:00:00 AM,Southwest,VANDALISM - MISDEAMEANOR ($399 OR UNDER),34.0142,-118.3423,0
10/26/2020 12:00:00 AM,Hollywood,BOMB SCARE,34.1039,-118.3318,0
08/01/2020 12:00:00 AM,Harbor,BATTERY - SIMPLE ASSAULT,33.7883,-118.2975,0
10/19/2020 12:00:00 AM,Hollenbeck,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),34.0762,-118.2119,0
02/26/2020 12:00:00 AM,Hollywood,BATTERY - SIMPLE ASSAULT,34.098,-118.3295,0
01/25/2020 12:00:00 AM,Wilshire,BATTERY - SIMPLE ASSAULT,34.0519,-118.3306,0
03/10/2020 12:00:00 AM,West LA,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",34.0495,-118.4609,0
02/13/2020 12:00:00 AM,Newton,VANDALISM - MISDEAMEANOR ($399 OR UNDER),34.0203,-118.2506,0
11/18/2020 12:00:00 AM,77th Street,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),33.9707,-118.2652,0
05/08/2020 12:00:00 AM,Rampart,VEHICLE - STOLEN,34.0633,-118.2575,0
04/30/2020 12:00:00 AM,Northeast,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",34.1136,-118.1908,0
07/26/2020 12:00:00 AM,Northeast,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",34.0829,-118.2565,0
10/04/2020 12:00:00 AM,West LA,VEHICLE - STOLEN,34.0683,-118.4536,0
05/05/2020 12:00:00 AM,Central,BURGLARY,34.0452,-118.2569,0
07/21/2020 12:00:00 AM,Wilshire,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",34.0483,-118.3412,0
04/14/2020 12:00:00 AM,Van Nuys,BATTERY - SIMPLE ASSAULT,34.1841,-118.4693,0
10/21/2020 12:00:00 AM,Rampart,THEFT OF IDENTITY,34.0591,-118.2635,0
10/27/2020 12:00:00 AM,West LA,BRANDISH WEAPON,34.0473,-118.4206,0
02/13/2020 12:00:00 AM,Harbor,BRANDISH WEAPON,33.795,-118.2588,0
